league,season,team,player,nation,position,age,born,playing_time_mp,playing_time_starts,minutes,nineties,goals,assists,g+a,g-pk,pk,pkatt,crdy,crdr,per 90 minutes_gls,per 90 minutes_ast,per 90 minutes_g+a,per 90 minutes_g-pk,per 90 minutes_g+a-pk,90s,standard_gls,sh,sot,standard_sot%,sh_per90,sot_per90,g_per_shot,g_per_sot,standard_pk,standard_pkatt,second_yellow,fouls_committed,fouls_drawn,offsides,crs,int,tackles_tkl,og,gk_ga,gk_ga90,gk_sota,gk_saves,gk_savepct,gk_wins,gk_draws,gk_losses,gk_cs,gk_cspct,gk_pk_att,penalty kicks_pka,gk_pk_saved,gk_pk_missed,penalty kicks_save%,position_primary,nationality,season_year,_idx,goals_per90,assists_per90,gk_saves_per90,goals_per90_pct,goals_per90_xpct,assists_per90_pct,assists_per90_xpct,sh_per90_pct,sh_per90_xpct,sot_per90_pct,sot_per90_xpct,g_per_shot_pct,g_per_shot_xpct,g_per_sot_pct,g_per_sot_xpct,sh_pct,sh_xpct,tackles_tkl_pct,tackles_tkl_xpct,int_pct,int_xpct,fouls_drawn_pct,fouls_drawn_xpct,fouls_committed_pct,fouls_committed_xpct,gk_savepct_pct,gk_savepct_xpct,gk_cspct_pct,gk_cspct_xpct,gk_ga90_pct,gk_ga90_xpct,gk_sota_pct,gk_sota_xpct,gk_saves_pct,gk_saves_xpct,gk_wins_pct,gk_wins_xpct,psi,market_value,future_value,predicted_value,contract_years,contract_expires,mv_low,mv_high,mv_uncertainty,peak_age,arc_phase,style_cluster,style_label,umap_x,umap_y,injury_risk,injury_risk_label,injury_risk_age,injury_risk_load
Bundesliga,2324,Werder Bremen,Rafael Borré,COL,FW,27,1995,19,11,991,11.0,4,0,4,4,0,0,0,0,0.36,0.0,0.36,0.36,0.36,11.0,4,20,8,40.0,1.82,0.73,0.2,0.5,0,0,0,17,8,14,12,2,9,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,FW,COL,2023,514,0.3632694248234107,0.0,0.0,0.578125,0.5578034682080925,0.140625,0.1286127167630057,0.125,0.1618497109826589,0.2734375,0.226878612716763,0.9140625,0.8424855491329479,0.9140625,0.9060693641618496,0.21875,0.245664739884393,0.6640625,0.6257225433526011,0.3671875,0.3338150289017341,0.1328125,0.1228323699421965,0.484375,0.5664739884393064,0.5078125,0.5014450867052023,0.5078125,0.5014450867052023,0.5078125,0.5014450867052023,0.5078125,0.5014450867052023,0.5078125,0.5014450867052023,0.5078125,0.5014450867052023,0.4586,7.3,7.3,7.3,3,2029,0.1,11.9,5.9,25.0,peak,0,Poacher,1.8864,4.537,32,Moderate,38,20
Bundesliga,2324,Werder Bremen,Olivier Deman,BEL,MF,23,2000,29,14,1365,15.2,2,1,3,2,0,0,5,0,0.13,0.07,0.2,0.13,0.2,15.2,2,17,7,41.2,1.12,0.46,0.12,0.29,0,0,0,27,13,0,45,13,14,1,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,MF,BEL,2023,515,0.1318681318681318,0.0659340659340659,0.0,0.5515151515151515,0.6008583690987125,0.2787878787878788,0.3969957081545064,0.3727272727272727,0.3739270386266094,0.5484848484848485,0.5488197424892703,0.7,0.7505364806866953,0.5757575757575758,0.6491416309012875,0.3454545454545454,0.4366952789699571,0.3939393939393939,0.4034334763948498,0.5333333333333333,0.5869098712446352,0.3090909090909091,0.3240343347639485,0.7272727272727273,0.3079399141630901,0.503030303030303,0.5005364806866953,0.503030303030303,0.5005364806866953,0.503030303030303,0.5005364806866953,0.503030303030303,0.5005364806866953,0.503030303030303,0.5005364806866953,0.503030303030303,0.5005364806866953,0.4386,4.6,5.4,4.6,2,2028,0.1,33.1,16.5,27.0,pre-peak,5,Playmaker,2.4375,5.2098,26,Moderate,20,20
Bundesliga,2324,Werder Bremen,Niklas Stark,GER,DF,28,1995,17,12,1088,12.1,2,0,2,2,0,0,4,0,0.17,0.0,0.17,0.17,0.17,12.1,2,4,2,50.0,0.33,0.17,0.5,1.0,0,0,0,21,16,1,0,15,16,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,DF,GER,2023,516,0.1654411764705882,0.0,0.0,0.9322033898305084,0.9446022727272728,0.3093220338983051,0.2642045454545454,0.2161016949152542,0.2365056818181818,0.5889830508474576,0.5859375,1.0,0.9900568181818182,0.940677966101695,0.9389204545454546,0.211864406779661,0.2116477272727272,0.4364406779661017,0.4254261363636363,0.3898305084745763,0.40625,0.7203389830508474,0.6732954545454546,0.6610169491525424,0.4019886363636363,0.5042372881355932,0.5007102272727273,0.5042372881355932,0.5007102272727273,0.5042372881355932,0.5007102272727273,0.5042372881355932,0.5007102272727273,0.5042372881355932,0.5007102272727273,0.5042372881355932,0.5007102272727273,0.4814,3.5,3.5,3.5,2,2028,0.1,9.0,4.4,28.0,peak,0,Attacking Fullback,1.2334,4.4038,33,Moderate,45,20
Bundesliga,2324,Werder Bremen,Nick Woltemade,GER,"FW,MF",21,2002,30,12,1189,13.2,2,0,2,2,0,0,1,0,0.15,0.0,0.15,0.15,0.15,13.2,2,22,6,27.3,1.67,0.45,0.09,0.33,0,0,0,22,23,6,3,5,21,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,FW,GER,2023,517,0.1513877207737594,0.0,0.0,0.265625,0.176300578034682,0.140625,0.1286127167630057,0.09375,0.0982658959537572,0.0546875,0.065028901734104,0.3671875,0.3367052023121387,0.6171875,0.5534682080924855,0.2421875,0.2644508670520231,0.984375,0.953757225433526,0.71875,0.6820809248554913,0.640625,0.5578034682080925,0.625,0.4132947976878612,0.5078125,0.5014450867052023,0.5078125,0.5014450867052023,0.5078125,0.5014450867052023,0.5078125,0.5014450867052023,0.5078125,0.5014450867052023,0.5078125,0.5014450867052023,0.2242,48.8,67.1,48.8,5,2031,1.1,49.5,24.2,25.0,pre-peak,3,Inverted Winger,2.3607,6.4776,22,Low,10,20
Bundesliga,2324,Werder Bremen,Mitchell Weiser,GER,MF,29,1994,30,30,2636,29.3,3,7,10,3,0,0,5,0,0.1,0.24,0.34,0.1,0.34,29.3,3,44,13,29.5,1.5,0.44,0.07,0.23,0,0,0,29,38,4,83,22,35,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,MF,GER,2023,518,0.1024279210925644,0.2389984825493171,0.0,0.4909090909090909,0.5311158798283262,0.7757575757575758,0.8487124463519313,0.5787878787878787,0.5734978540772532,0.5121212121212121,0.5187768240343348,0.4696969696969697,0.5241416309012875,0.4787878787878787,0.5354077253218884,0.8727272727272727,0.8487124463519313,0.9151515151515152,0.8755364806866953,0.806060606060606,0.8186695278969958,0.8787878787878788,0.8454935622317596,0.7909090909090909,0.2666309012875536,0.503030303030303,0.5005364806866953,0.503030303030303,0.5005364806866953,0.503030303030303,0.5005364806866953,0.503030303030303,0.5005364806866953,0.503030303030303,0.5005364806866953,0.503030303030303,0.5005364806866953,0.702,3.8,3.8,3.8,1,2027,0.9,12.5,5.8,27.0,peak,5,Playmaker,1.3908,7.8047,58,Elevated,52,65
Bundesliga,2324,Werder Bremen,Miloš Veljković,SRB,DF,27,1995,23,21,1920,21.3,2,1,3,2,0,0,2,0,0.09,0.05,0.14,0.09,0.14,21.3,2,6,3,50.0,0.28,0.14,0.33,0.67,0,0,0,9,5,0,21,15,15,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,DF,SRB,2023,519,0.09375,0.046875,0.0,0.8220338983050848,0.8181818181818182,0.6864406779661016,0.6178977272727273,0.1610169491525423,0.1889204545454545,0.4957627118644068,0.4992897727272727,0.9745762711864406,0.9644886363636364,0.8601694915254238,0.8870738636363636,0.3008474576271186,0.3529829545454545,0.3940677966101695,0.3771306818181818,0.3898305084745763,0.40625,0.2415254237288135,0.2194602272727272,0.1991525423728813,0.8103693181818182,0.5042372881355932,0.5007102272727273,0.5042372881355932,0.5007102272727273,0.5042372881355932,0.5007102272727273,0.5042372881355932,0.5007102272727273,0.5042372881355932,0.5007102272727273,0.5042372881355932,0.5007102272727273,0.4642,6.5,6.5,6.5,2,2028,0.1,19.3,9.6,28.0,peak,2,Sweeper CB,0.3148,3.1265,38,Moderate,38,35
Bundesliga,2324,Werder Bremen,Michael Zetterer,GER,GK,28,1995,27,27,2430,27.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,27.0,0,1,0,0.0,0.04,0.0,0.0,0.0,0,0,0,0,7,1,0,0,1,0,37,1.37,126,93,73.8,9,9,9,5,18.5,4,4,0,0,0.0,GK,GER,2023,520,0.0,0.0,3.4444444444444446,0.5192307692307693,0.5032679738562091,0.4807692307692308,0.477124183006536,0.9615384615384616,0.9738562091503268,0.5192307692307693,0.5032679738562091,0.5192307692307693,0.5032679738562091,0.5192307692307693,0.5032679738562091,0.9423076923076924,0.9705882352941176,0.8269230769230769,0.7941176470588235,0.4423076923076923,0.3954248366013072,0.9615384615384616,0.8954248366013072,0.3461538461538461,0.6830065359477124,0.8076923076923077,0.6535947712418301,0.4230769230769231,0.3856209150326797,0.3461538461538461,0.5555555555555556,0.6153846153846154,0.6666666666666666,0.6538461538461539,0.6862745098039216,0.5769230769230769,0.5816993464052288,0.5808,4.4,4.4,4.4,3,2029,1.4,11.4,5.0,30.0,peak,0,Shot-Stopper,1.6529,8.171,44,Moderate,45,50
Bundesliga,2324,Werder Bremen,Marvin Ducksch,GER,FW,29,1994,33,32,2696,30.0,12,9,21,7,5,6,9,0,0.4,0.3,0.7,0.23,0.53,30.0,12,80,38,47.5,2.67,1.27,0.09,0.18,5,6,0,6,19,18,157,5,4,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,FW,GER,2023,521,0.400593471810089,0.3004451038575668,0.0,0.6875,0.630057803468208,0.9375,0.9104046242774566,0.6015625,0.5708092485549133,0.75,0.7283236994219653,0.3671875,0.3367052023121387,0.2890625,0.2124277456647398,0.8828125,0.8945086705202312,0.3515625,0.2933526011560693,0.71875,0.6820809248554913,0.5,0.4190751445086705,0.0625,0.9393063583815028,0.5078125,0.5014450867052023,0.5078125,0.5014450867052023,0.5078125,0.5014450867052023,0.5078125,0.5014450867052023,0.5078125,0.5014450867052023,0.5078125,0.5014450867052023,0.6461,2.2,1.8,2.2,2,2028,0.1,13.2,6.6,25.0,post-peak,4,Target Man,-2.0605,3.999,59,Elevated,52,65
Bundesliga,2324,Werder Bremen,Marco Friedl,AUT,DF,25,1998,25,25,2197,24.4,1,0,1,1,0,0,6,0,0.04,0.0,0.04,0.04,0.04,24.4,1,7,1,14.3,0.29,0.04,0.14,1.0,0,0,0,31,17,1,3,33,33,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,DF,AUT,2023,522,0.0409649522075557,0.0,0.0,0.5338983050847458,0.5909090909090909,0.3093220338983051,0.2642045454545454,0.173728813559322,0.2066761363636363,0.1991525423728813,0.2052556818181818,0.7669491525423728,0.7691761363636364,0.940677966101695,0.9389204545454546,0.3559322033898305,0.4076704545454545,0.8432203389830508,0.8629261363636364,0.8050847457627118,0.8536931818181818,0.7542372881355932,0.7002840909090909,0.902542372881356,0.1555397727272727,0.5042372881355932,0.5007102272727273,0.5042372881355932,0.5007102272727273,0.5042372881355932,0.5007102272727273,0.5042372881355932,0.5007102272727273,0.5042372881355932,0.5007102272727273,0.5042372881355932,0.5007102272727273,0.7119,9.9,10.5,9.9,2,2028,1.1,19.7,9.3,28.0,pre-peak,4,Stopper,1.7486,6.1104,42,Moderate,28,50
Bundesliga,2324,Werder Bremen,Leonardo Bittencourt,GER,MF,29,1993,29,19,1578,17.5,1,2,3,1,0,0,9,0,0.06,0.11,0.17,0.06,0.17,17.5,1,31,5,16.1,1.77,0.29,0.03,0.2,0,0,0,34,31,2,41,12,17,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,MF,GER,2023,523,0.0570342205323193,0.1140684410646387,0.0,0.3212121212121212,0.3830472103004292,0.4424242424242424,0.5654506437768241,0.6727272727272727,0.6877682403433476,0.3393939393939394,0.3401287553648068,0.2878787878787879,0.338519313304721,0.4303030303030303,0.4860515021459227,0.6787878787878788,0.6995708154506438,0.4787878787878787,0.4860515021459227,0.4787878787878787,0.5547210300429185,0.7818181818181819,0.7446351931330472,0.8909090909090909,0.1781115879828326,0.503030303030303,0.5005364806866953,0.503030303030303,0.5005364806866953,0.503030303030303,0.5005364806866953,0.503030303030303,0.5005364806866953,0.503030303030303,0.5005364806866953,0.503030303030303,0.5005364806866953,0.4402,1.4,1.4,1.4,1,2027,0.1,8.5,4.2,27.0,peak,3,Press-Resistant 8,4.1727,6.9778,43,Moderate,52,35
