unnamed:_0_level_0_rk,player,team,market_value,unnamed:_2_level_0_nation,position,age,unnamed:_6_level_0_born,playing_time_mp,playing_time_starts,minutes,nineties,goals,assists,g+a,g-pk,pk,pkatt,crdy_x,crdr_x,xg,npxg,xag,npxg+xag,progression_prgc,progression_prgp,progression_prgr,goals_per90,assists_per90,per_90_minutes_g+a,per_90_minutes_g-pk,per_90_minutes_g+a-pk,xg_per90,xag_per90,per_90_minutes_xg+xag,per_90_minutes_npxg,per_90_minutes_npxg+xag,unnamed:_36_level_0_matches,gls,sh,sot,sotpct,sh_90,sot_90,g_sh,g_sot,dist,fk,pk.1,pkatt.1,xg_alt,npxg_y,npxg_sh,g-xg,np:g-xg,total_cmp,total_att,total_cmppct,total_totdist,total_prgdist,short_cmp,short_att,short_cmppct,medium_cmp,medium_att,medium_cmppct,long_cmp,long_att,long_cmppct,xa,a-xag,tackles_tkl,tackles_tklw,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenges_tkl,challenges_att,challenges_tklpct,challenges_lost,blocks_blocks,blocks_sh,blocks_pass,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,take-ons_att,take-ons_succ,take-ons_succpct,take-ons_tkld,take-ons_tkldpct,carries_carries,carries_totdist,carries_prgdist,carries_prgc,carries_1_3,carries_cpa,carries_mis,carries_dis,receiving_rec,receiving_prgr,crdy_y,crdr_y,2crdy,fls,fld,off,crs,int,tklw,pkwon,pkcon,og,recov,aerial_duels_won,aerial_duels_lost,aerial_duels_wonpct,season,crdy,crdr,xg_xag_total,position_primary,position_group,age_squared,log_market_value,psi,season_year,long_cmp_rate,predicted_value,value_gap,age_multiplier,future_value,value_gap_future,youth_safety_penalty,pass_completion_rate,psxg,aerial_duels_wonpct_pct,take-ons_succpct_pct,xg_per90_pct,medium_cmppct_pct,touches_def_pen_pct,carries_prgdist_pct,sh_pct,goals_per90_pct,long_cmppct_pct,progression_prgr_pct,progression_prgp_pct,total_cmppct_pct,xag_per90_pct,assists_per90_pct,short_cmppct_pct,long_cmp_rate_pct,blocks_blocks_pct,tackles_tkl_pct,int_pct,predicted_value_new,team_fit_score,ranking_score
171,Julio Enciso,Brighton,22.0,py PAR,"MF,FW",19.0,2004.0,12,5,475,5.3,0,2,2,0,0,0,2.0,0.0,1.4,1.4,1.7,3.2,28,21,29,0.0,0.3789473684210526,0.38,0.0,0.38,0.2652631578947368,0.3221052631578947,0.59,0.27,0.59,Matches,0,28,8,28.6,5.31,1.52,0.0,0.0,21.2,0,0,0,1.4,1.4,0.05,-1.4,-1.4,132,178,74.2,1842,562,77,89,86.5,41,58,70.7,9,12,0.75,1.3,0.3,6,2,3,2,1,2,7,28.6,5,11,0,11,257,0.0039432176656151,24,106,131,21,257,29,17,58.6,7,24.1,193,1299,839,28,20,7,15,8,202,29,2.0,0.0,0.0,6.0,10.0,1.0,8.0,0.0,2.0,0.0,0.0,0.0,13.0,1.0,2.0,33.3,2023-24,,,3.1,MF,Midfielder,361.0,3.1354942159291497,0.0019197134180079,2023,0.75,19.907956072071375,4.288518122935422,1.3,24.884945090089218,2.884945090089218,-5,74.2,1.4,,0.8385714285714285,0.8885714285714286,,,,,0.2542857142857143,,0.6028571428571429,,,0.9628571428571427,0.9628571428571427,,,,,,19.907956072071375,,
123,Mahmoud Dahoud,Brighton,6.0,de GER,MF,27.0,1996.0,9,6,452,5.0,0,1,1,0,0,0,1.0,1.0,0.2,0.2,0.9,1.1,4,11,6,0.0,0.1991150442477876,0.2,0.0,0.2,0.0398230088495575,0.1792035398230088,0.22,0.04,0.22,Matches,0,6,1,16.7,1.19,0.2,0.0,0.0,26.8,0,0,0,0.2,0.2,0.04,-0.2,-0.2,284,328,86.6,4011,886,169,176,96.0,84,99,84.8,16,25,0.64,0.4,0.1,9,4,2,4,3,3,9,33.3,6,4,1,3,368,0.0094637223974763,86,225,58,4,368,5,2,40.0,3,60.0,239,951,406,4,3,1,6,5,303,6,1.0,1.0,0.0,6.0,2.0,0.0,3.0,1.0,4.0,0.0,0.0,0.0,26.0,0.0,5.0,0.0,2023-24,,,1.1,MF,Midfielder,729.0,1.9459101490553128,0.0010317989517007,2023,0.64,11.6607021176507,10.373442836840557,1.0,11.077667011768165,5.077667011768165,-5,86.6,0.2,,0.4157142857142857,0.3514285714285714,,,,,0.2542857142857143,,0.2942857142857142,,,0.8371428571428572,0.8428571428571429,,,,,,11.6607021176507,,
390,Mark O'Mahony,Brighton,0.3,ie IRL,FW,18.0,2005.0,3,1,63,0.7,0,0,0,0,0,0,1.0,0.0,0.1,0.1,0.0,0.1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.1428571428571428,0.0,0.08,0.08,0.08,Matches,0,1,0,0.0,1.43,0.0,0.0,,16.8,0,0,0,0.1,0.1,0.06,-0.1,-0.1,13,16,81.3,162,2,7,8,87.5,5,6,83.3,0,0,0.0,0.0,0.0,1,0,1,0,0,1,2,50.0,1,2,1,1,27,0.001577287066246,6,15,6,2,27,0,0,0.0,0,,16,66,10,0,0,0,4,0,21,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,25.0,2023-24,,,0.1,FW,Forward,324.0,0.262364264467491,0.0003314663298995,2023,0.0,2.7889928186902164,15.7,1.3,3.4862410233627705,3.1862410233627707,-5,81.3,0.1,,0.0903225806451612,0.3209677419354839,,,,0.1693548387096774,0.1903225806451612,,0.0338709677419354,,,0.1032258064516129,,,,,,,2.7889928186902164,,
6,Simon Adingra,Brighton,30.0,ci CIV,FW,21.0,2002.0,31,25,2222,24.7,6,1,7,6,0,0,3.0,0.0,4.3,4.3,3.7,8.0,111,50,278,0.243024302430243,0.0405040504050405,0.28,0.24,0.28,0.1741674167416741,0.1498649864986498,0.32,0.17,0.32,Matches,6,52,22,42.3,2.11,0.89,0.12,0.27,15.9,0,0,0,4.3,4.3,0.08,1.7,1.7,634,840,75.5,8828,1713,412,491,83.9,185,245,75.5,20,38,0.526,3.5,-2.7,45,20,23,11,11,19,42,45.2,23,31,1,30,1159,0.028391167192429,187,364,627,153,1159,123,50,40.7,64,52.0,773,5063,2996,111,48,63,48,28,795,278,3.0,0.0,0.0,29.0,19.0,17.0,76.0,19.0,20.0,1.0,0.0,0.0,118.0,8.0,12.0,40.0,2023-24,,,8.0,FW,Forward,441.0,3.4339872044851463,0.0015757330525334,2023,0.5263157894736842,43.29048082662614,3.7142857142857153,1.2,54.113101033282675,24.113101033282675,0,75.5,4.3,,0.5596774193548387,0.3806451612903225,,,,0.8387096774193549,0.6129032258064516,,0.9741935483870968,,,0.6516129032258065,,,,,,,43.29048082662614,,
44,Valentin Barco,Brighton,13.0,ar ARG,"DF,FW",19.0,2004.0,6,3,307,3.4,0,0,0,0,0,0,1.0,0.0,0.2,0.2,0.2,0.4,8,14,20,0.0,0.0,0.0,0.0,0.0,0.0586319218241042,0.0586319218241042,0.13,0.05,0.13,Matches,0,4,2,50.0,1.17,0.59,0.0,0.0,24.2,0,0,0,0.2,0.2,0.05,-0.2,-0.2,179,233,76.8,2509,864,120,131,91.6,47,64,73.4,7,23,0.304,0.4,-0.2,11,5,4,5,2,6,8,75.0,2,3,0,3,274,0.0055205047318611,73,102,100,5,274,11,5,45.5,4,36.4,181,697,367,8,4,0,5,4,188,20,1.0,0.0,0.0,7.0,7.0,0.0,30.0,4.0,5.0,0.0,0.0,0.0,16.0,1.0,7.0,12.5,2023-24,,,0.4,DF,Defender,361.0,2.6390573296152584,0.0460185754677267,2023,0.3043478260869565,10.305477430873763,7.13116160177697,1.3,12.881846788592204,-0.11815321140779567,-5,76.8,0.2,0.3095890410958904,,,,,0.273972602739726,,,,,0.2863013698630137,,,,,,0.1986301369863013,0.3246575342465753,0.3904109589041096,10.305477430873763,,
369,Arijanet Muric,Burnley,120.0,xk KVX,GK,24.0,1998.0,10,10,900,10.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.2,0.2,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02,Matches,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,404,585,69.1,11273,8376,67,68,98.5,196,207,94.7,140,302,0.4639999999999999,0.1,-0.2,1,1,1,0,0,1,1,100.0,0,0,0,0,635,0.2847003154574132,573,62,0,0,635,0,0,0.0,0,,418,2331,1453,0,0,0,0,0,392,0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,21.0,3.0,0.0,100.0,2023-24,,,0.2,GK,Goalkeeper,576.0,4.795790545596741,0.54271605924344,2023,0.4635761589403973,118.52933491948654,-94.57142857142856,1.1,124.45580166546088,4.455801665460882,0,69.1,0.0,,,,0.0921052631578947,0.4736842105263157,,,,0.7368421052631579,,,0.4473684210526316,,,0.2763157894736842,0.7368421052631579,,,,118.52933491948654,,
439,Aaron Ramsey,Burnley,15.0,eng ENG,"MF,FW",20.0,2003.0,14,5,527,5.9,0,0,0,0,0,0,1.0,0.0,0.3,0.3,0.4,0.7,8,8,17,0.0,0.0,0.0,0.0,0.0,0.0512333965844402,0.0683111954459203,0.13,0.06,0.13,Matches,0,6,2,33.3,1.02,0.34,0.0,0.0,16.5,0,0,0,0.3,0.3,0.06,-0.3,-0.3,118,151,78.1,1856,224,71,84,84.5,37,46,80.4,9,10,0.9,0.5,-0.4,17,14,7,5,5,8,16,50.0,8,11,2,9,228,0.0118296529968454,63,102,65,9,228,10,3,30.0,6,60.0,117,514,168,8,5,4,11,10,142,17,1.0,0.0,0.0,7.0,3.0,1.0,2.0,1.0,14.0,0.0,1.0,0.0,24.0,4.0,5.0,44.4,2023-24,,,0.7,MF,Midfielder,400.0,2.772588722239781,0.0001585000287185,2023,0.9,11.239401088021111,-1.4486568129170454,1.3,14.049251360026389,-0.9507486399736109,-5,78.1,0.3,,0.2542857142857143,0.4028571428571428,,,,,0.2542857142857143,,0.4571428571428571,,,0.4685714285714286,0.2557142857142857,,,,,,11.239401088021111,,
124,Ameen Al-Dakhil,Burnley,12.0,be BEL,DF,21.0,2002.0,13,12,1056,11.7,1,0,1,1,0,0,1.0,0.0,1.3,1.3,0.1,1.4,7,35,9,0.0852272727272727,0.0,0.09,0.09,0.09,0.1107954545454545,0.0085227272727272,0.12,0.11,0.12,Matches,1,8,3,37.5,0.68,0.26,0.13,0.33,16.0,0,0,0,1.3,1.3,0.16,-0.3,-0.3,537,637,84.3,9642,2939,208,220,94.5,280,321,87.2,42,77,0.545,0.6,-0.1,12,5,4,7,1,1,10,10.0,9,13,6,7,749,0.0654574132492113,355,339,58,10,749,5,3,60.0,2,40.0,491,2471,1351,7,9,0,8,6,495,9,1.0,0.0,0.0,6.0,4.0,0.0,3.0,12.0,5.0,0.0,1.0,1.0,50.0,14.0,23.0,37.8,2023-24,,,1.4,DF,Defender,441.0,2.5649493574615367,0.077574170074168,2023,0.5454545454545454,14.43099625305389,14.244517852095289,1.2,18.03874531631736,6.03874531631736,0,84.3,1.3,0.3931506849315068,,,,,0.5780821917808219,,,,,0.4821917808219178,,,,,,0.4397260273972603,0.3465753424657534,0.5547945205479452,14.43099625305389,,
577,Anass Zaroury,Burnley,9.0,ma MAR,"FW,MF",22.0,2000.0,6,1,152,1.7,0,0,0,0,0,0,0.0,1.0,0.2,0.2,0.0,0.2,2,2,12,0.0,0.0,0.0,0.0,0.0,0.1184210526315789,0.0,0.12,0.1,0.12,Matches,0,3,1,33.3,1.78,0.59,0.0,0.0,20.9,0,0,0,0.2,0.2,0.06,-0.2,-0.2,43,70,61.4,714,120,23,31,74.2,13,21,61.9,6,11,0.545,0.1,0.0,1,0,1,0,0,0,4,0.0,4,2,0,2,87,0.000788643533123,12,39,37,4,87,6,2,33.3,3,50.0,60,362,91,2,2,0,3,2,68,12,0.0,1.0,0.0,4.0,3.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,1.0,0.0,2023-24,,,0.2,FW,Forward,484.0,2.302585092994046,0.0002747681418904,2023,0.5454545454545454,3.795399426977869,10.0,1.2,4.3647093410245486,-4.6352906589754514,-5,61.4,0.2,,0.3612903225806451,0.2612903225806451,,,,0.2532258064516129,0.1903225806451612,,0.2435483870967742,,,0.1032258064516129,,,,,,,3.795399426977869,,
323,Benson Manuel,Burnley,5.0,ao ANG,"MF,FW",26.0,1997.0,8,1,116,1.3,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0.0,0.1,5,2,14,0.0,0.0,0.0,0.0,0.0,0.0775862068965517,0.0,0.08,0.05,0.08,Matches,0,4,2,50.0,3.1,1.55,0.0,0.0,24.0,0,0,0,0.1,0.1,0.02,-0.1,-0.1,48,59,81.4,693,153,27,27,100.0,16,22,72.7,3,4,0.75,0.2,0.0,3,2,2,1,0,0,0,,0,1,0,1,82,0.0,9,25,48,3,82,12,4,33.3,6,50.0,63,515,225,5,7,0,5,4,68,14,0.0,0.0,0.0,1.0,4.0,0.0,9.0,0.0,2.0,0.0,0.0,0.0,6.0,0.0,4.0,0.0,2023-24,,,0.1,MF,Midfielder,676.0,1.791759469228055,0.0,2023,0.75,10.029644595630376,1.351293623001422,1.0,10.531126825411896,5.531126825411896,-5,81.4,0.1,,0.2914285714285714,0.5057142857142857,,,,,0.2542857142857143,,0.43,,,0.1142857142857142,0.2557142857142857,,,,,,10.029644595630376,,
